techs,Electricity_demand,Electricity_demand,Electricity_demand,Electricity_demand,Electricity_demand,Electricity_demand,Electricity_demand,Electricity_demand
2021-01-01 16:00:00,5.568,6.568922712,4.440383108,5.5451504,6.279290953,7.101790312,3.467,3.70607583
2021-01-01 17:00:00,6.568,7.702281818,4.957446935,7.008429531,7.407179984,8.269326497,3.82,4.181832924
2021-01-01 18:00:00,8.053,9.498288291,6.422715818,8.148921021,9.082300356,10.27330437,3.971,4.355814129
2021-01-01 19:00:00,8.234,9.673736749,6.300830845,8.2368687,9.179742973,10.38246982,4.094,4.721673174
2021-01-01 20:00:00,7.768,10.27359948,6.93990453,8.810516369,9.820195659,10.2925,4.146,4.637344128
2021-01-01 21:00:00,7.347,10.2925,6.833705243,7.633064789,9.678352843,10.94627348,3.674,3.500943723
2021-01-01 22:00:00,6.384,8.514307392,7.094684283,8.041384033,8.141184945,9.207457364,3.713,4.105669156
2021-01-01 23:00:00,5.195,6.281563412,4.463720829,5.687076637,6.797058231,7.168997092,3.206,3.631591613
2021-01-02 00:00:00,4.688,5.512572921,3.73320279,4.735904517,5.985594291,5.969813529,3.046,3.334233574
2021-01-02 01:00:00,4.24,4.878285539,2.757044709,4.267984153,4.663730665,5.273715299,2.746,2.676563509
2021-01-02 02:00:00,3.332,3.950131773,2.994189871,3.372449897,3.759402964,4.044346014,2.614,2.885574318
2021-01-02 03:00:00,2.822,3.329900433,2.25085122,2.855677591,3.1829256,3.599849601,2.577,3.169713815
2021-01-02 04:00:00,2.638,3.260642817,2.104893751,2.597046421,2.975661623,3.365402266,2.636,2.997621625
2021-01-02 05:00:00,3.077,3.331487078,2.454508445,3.114192121,3.471070895,3.925111519,2.598,3.001251893
2021-01-02 06:00:00,3.135,3.700120988,2.497349302,2.081,3.536799155,4.000322699,2.666,2.978881577
2021-01-02 07:00:00,3.643,4.301101879,2.903969326,4.253640755,4.10998552,4.778890944,2.851,4.075977349
2021-01-02 08:00:00,4.477,5.284241777,3.571912653,4.531690303,5.032152678,6.095195857,3.003,4.465429235
2021-01-02 09:00:00,5.37,5.419497022,4.284293887,5.435592849,6.059480021,7.358103348,3.449,4.276994048
2021-01-02 10:00:00,6.386,7.537435047,5.09487346,6.464142195,7.204692042,8.117196626,3.906,4.530281695
2021-01-02 11:00:00,7.323,8.643425552,5.841710289,7.412364888,8.252499189,9.431545982,4.354,5.271006075
2021-01-02 12:00:00,6.793,8.018212056,5.419770498,6.886657134,7.664682899,8.666211249,4.02,4.284816198
2021-01-02 13:00:00,7.32,8.69164639,5.840559174,7.410484352,8.259343348,9.340749531,4.256,3.709153084
2021-01-02 14:00:00,5.82,6.876387452,4.535787813,5.890291952,6.816735647,7.424440153,4.175,4.108677208
2021-01-02 15:00:00,5.662,6.682534147,4.497829726,5.246013591,6.389248807,7.1420754,4.053,4.163403384
2021-01-02 16:00:00,5.568,6.626738399,4.629784647,5.637177697,6.282885429,7.096245276,3.982,4.474031649
2021-01-02 17:00:00,6.568,7.879740234,5.056438303,6.454442628,7.413516087,8.382618136,4.528,4.617336749
2021-01-02 18:00:00,8.053,9.6501049,6.426520985,8.153514352,9.24522806,10.296158,4.628,4.45317343
2021-01-02 19:00:00,8.234,9.720849091,6.570775341,8.336455614,9.300130264,10.508878,4.78,5.126407327
2021-01-02 20:00:00,7.768,10.27722661,6.969155764,8.813740397,9.823655736,10.2925,4.563,4.95963237
2021-01-02 21:00:00,7.347,10.2925,6.852527196,8.738239337,9.693049191,10.95706601,4.342,2.086
2021-01-02 22:00:00,6.384,8.532188186,5.76752089,7.317317761,8.155053243,9.224119946,3.875,4.280799509
2021-01-02 23:00:00,5.195,6.175780199,4.295364449,5.69998325,6.353284486,7.604887793,3.296,2.827660559
2021-01-03 00:00:00,4.688,5.485131016,5.495493963,3.767175617,5.680349235,5.930752656,3.179,3.313617438
2021-01-03 01:00:00,4.24,4.822529134,3.212359567,3.463084322,4.542606413,5.11729636,3.11,3.481858363
2021-01-03 02:00:00,3.332,3.930831181,2.555467084,3.371541588,3.75786647,4.247262664,3.002,3.578373832
2021-01-03 03:00:00,2.822,3.366137278,2.081,2.856921364,3.184729557,3.562635687,2.972,2.936828058
2021-01-03 04:00:00,2.638,3.55067677,2.10787098,2.67175315,3.05734872,3.368794356,2.803,2.086
2021-01-03 05:00:00,3.077,3.63655737,3.078095799,3.121787188,3.476067784,3.814068537,2.869,3.024986874
2021-01-03 06:00:00,3.135,3.707760596,2.506159548,3.492158214,3.544254011,4.008281682,2.904,3.253831387
2021-01-03 07:00:00,3.643,4.310488392,3.039304641,3.543638354,3.475598567,3.993106946,2.896,4.451404535
2021-01-03 08:00:00,4.477,5.297616216,4.941978855,4.264965332,4.775657519,6.357229983,3.09,5.5683
2021-01-03 09:00:00,5.37,6.356803125,4.289551702,6.28846219,5.170227075,6.948475809,3.176,5.194196365
2021-01-03 10:00:00,6.386,7.561829108,5.111421386,6.482068833,7.228044201,8.17518646,3.325,5.247984696
2021-01-03 11:00:00,7.323,8.674535693,5.920463156,7.438805906,8.292259982,9.729584056,4.238,5.82918133
2021-01-03 12:00:00,6.793,8.055236156,5.444775206,6.907892446,7.930347608,8.708979719,4.13,5.444376712
2021-01-03 13:00:00,7.32,8.682963395,5.868716074,7.414594812,8.299542957,9.386910123,4.142,4.593174645
2021-01-03 14:00:00,5.82,6.909789935,6.059755343,5.925340388,6.604897449,7.755928156,4.604,5.154363067
2021-01-03 15:00:00,5.662,6.734251997,4.494578929,4.486627761,6.437153057,7.966748389,4.548,4.867651988
2021-01-03 16:00:00,5.568,6.488563869,4.227445501,6.213199201,6.333134087,6.861774027,4.458,5.024969047
2021-01-03 17:00:00,6.568,7.988808241,5.24665212,6.695495408,7.462621997,8.355509791,4.663,4.6430726
2021-01-03 18:00:00,8.053,9.562171796,6.463373419,7.057874458,9.021334605,10.2925,4.7,5.42901971
2021-01-03 19:00:00,8.234,9.798818546,8.047494424,8.479013012,9.184682441,10.68856215,4.842,5.303239832
2021-01-03 20:00:00,7.768,10.2925,6.966064696,8.061590138,9.874356963,11.16775533,4.543,4.96905652
2021-01-03 21:00:00,7.347,10.21061946,6.7508404,8.469681326,9.939536398,11.03816466,4.207,4.464607637
2021-01-03 22:00:00,6.384,8.776807282,5.825745887,7.471071339,7.752255242,9.490604234,3.808,4.29382226
2021-01-03 23:00:00,5.195,7.028595271,4.092039617,5.817993573,6.743947805,7.627575197,3.322,3.641815251
2021-01-04 00:00:00,4.881,5.824674556,3.902800633,5.461314519,5.147473759,6.411937392,2.956,3.255107028
2021-01-04 01:00:00,4.16,5.226123859,3.301866005,4.204524108,4.667934326,6.567227594,3.034,3.25718673
2021-01-04 02:00:00,3.508,4.33148214,2.927243026,3.714494225,4.140448758,5.023098565,2.704,2.995933075
2021-01-04 03:00:00,3.092,3.938710869,2.483918455,3.197924784,3.564246075,4.031795965,2.696,2.086
2021-01-04 04:00:00,2.908,3.510949753,2.373215467,3.010946771,3.355960824,3.796478548,2.892,3.083634444
2021-01-04 05:00:00,3.212,3.748001292,2.722864563,3.455243063,3.850359317,4.35485334,2.803,2.770940305
2021-01-04 06:00:00,4.134,4.096279826,2.768872744,3.51526186,3.912548744,4.415404054,3.058,3.290791218
2021-01-04 07:00:00,5.076,4.694833258,3.173931594,4.026458219,4.487329688,5.078603719,4.286,4.671465657
2021-01-04 08:00:00,4.921,5.679743125,3.836856708,4.870834946,5.476524726,6.140117614,5.616,6.108569161
2021-01-04 09:00:00,5.182,6.733870111,4.551701843,5.774848283,6.438856222,7.653298017,6.776,5.981067008
2021-01-04 10:00:00,5.636,7.932231899,5.351896278,7.021775555,6.417952856,8.576578538,7.265,6.504884062
2021-01-04 11:00:00,5.908,9.276206888,6.110655431,7.774327557,8.641101325,9.772666294,7.55,3.954609273
2021-01-04 12:00:00,6.267,8.41468561,5.688897392,7.217462333,8.109890129,8.995083014,7.05,6.354961684
2021-01-04 13:00:00,6.372,8.712449047,6.56190508,7.751611688,8.640527271,9.771401359,7.32,3.417400096
2021-01-04 14:00:00,6.122,7.225358012,4.888077017,6.2006344,6.912438909,7.817676213,6.802,5.649424913
2021-01-04 15:00:00,6.549,7.087140664,4.790565937,6.077881558,6.686627433,7.661635088,6.858,6.213423599
2021-01-04 16:00:00,6.616,6.978766238,4.754254925,5.954416757,6.670630826,7.544549565,6.55,5.754114266
2021-01-04 17:00:00,7.267,8.822030989,5.449713928,7.735818439,7.801290581,8.823402198,6.946,5.665384656
2021-01-04 18:00:00,8.411,10.77462547,6.80785225,8.51012968,9.139021076,11.3225,6.564,3.305082551
2021-01-04 19:00:00,8.875,8.994249737,7.00357944,8.885571838,9.903804648,11.20098764,5.729,3.674263042
2021-01-04 20:00:00,9.058,11.15874289,7.228683655,9.020048664,9.758700462,11.56046536,4.87,4.561963918
2021-01-04 21:00:00,8.972,11.14051966,7.153855986,9.076257443,10.1162547,11.00991356,4.014,2.542870096
2021-01-04 22:00:00,7.608,9.094459738,6.288701092,7.700290442,8.531363248,9.703960103,3.825,4.161602553
2021-01-04 23:00:00,6.008,7.063092116,4.801435267,6.082164844,6.779006959,7.664739031,3.104,3.703713817
2021-01-05 00:00:00,4.881,5.766329303,3.901964317,4.882826235,5.349164636,5.825190764,3.004,3.429156778
2021-01-05 01:00:00,4.16,4.918320221,3.345021667,4.294378894,4.700965679,4.689768682,3.028,3.172914198
2021-01-05 02:00:00,3.508,4.299140182,2.905673413,3.608943657,4.109626223,4.647661716,2.689,2.858190794
2021-01-05 03:00:00,3.092,3.32346336,2.081,3.26867628,3.643205557,4.122125756,2.62,2.666000544
2021-01-05 04:00:00,2.908,3.596946418,2.431564619,3.084298709,3.438426029,4.083561546,2.758,3.186608916
2021-01-05 05:00:00,3.212,3.91265569,2.675810549,3.422384076,4.989290213,4.279578404,2.561,3.116936588
2021-01-05 06:00:00,4.134,5.046096151,3.412866257,4.32995428,3.360465545,5.458626311,3.013,3.661189644
2021-01-05 07:00:00,5.076,6.849110804,4.165413154,5.284756647,5.890304654,6.661792485,4.136,2.086
2021-01-05 08:00:00,4.921,5.980662488,4.042605397,5.182433488,5.716649794,6.45700545,5.48,5.863244213
2021-01-05 09:00:00,5.182,6.288950365,4.251497654,5.393635419,6.011786564,6.799089523,6.382,7.070111196
2021-01-05 10:00:00,5.636,7.717710037,4.613263821,4.481560326,6.523102309,7.377274437,6.906,6.388666624
2021-01-05 11:00:00,5.908,8.159678917,4.733282681,6.005236027,6.693183362,7.570196483,7.377,6.435487509
2021-01-05 12:00:00,6.267,7.249615143,5.014695615,6.367880874,7.097531899,8.602580447,6.917,7.488287571
2021-01-05 13:00:00,6.372,7.547571336,5.102042833,6.472915883,7.211869932,8.155141674,6.586,6.191533155
2021-01-05 14:00:00,6.122,7.251814513,4.901874815,6.219114085,7.159852815,7.797776863,6.014,6.262962657
2021-01-05 15:00:00,6.549,9.196456972,5.335705893,6.785426739,7.545247907,8.533007792,6.112,5.886893183
2021-01-05 16:00:00,6.616,7.969638932,5.149645203,6.833998475,7.617456796,8.615121954,5.822,5.95926781
2021-01-05 17:00:00,7.267,8.733410335,5.780369826,7.489774085,8.353127565,9.44132382,5.745,6.164357895
2021-01-05 18:00:00,8.411,9.938138018,6.703245387,8.522858003,9.497663914,10.74370595,5.684,6.105345645
2021-01-05 19:00:00,8.875,8.712386228,7.090970285,8.235266457,10.01710262,11.33245607,5.168,5.765263163
2021-01-05 20:00:00,9.058,10.22330036,7.226776924,10.54073548,10.21936122,11.3225,4.678,5.095123925
2021-01-05 21:00:00,8.972,10.57966239,7.154489397,8.245837513,10.80747686,11.442307,4.278,4.392057174
2021-01-05 22:00:00,7.608,8.992329396,6.062791274,7.692204766,8.573211077,9.696362649,3.617,4.078312621
2021-01-05 23:00:00,6.008,7.074944874,5.816870236,6.068163328,6.763475806,7.651627712,2.982,3.490248459
2021-01-06 00:00:00,4.688,5.779179253,3.903412549,4.955754929,5.524135846,6.247584381,2.844,3.36796775
2021-01-06 01:00:00,4.24,4.874614349,3.295241863,4.181194343,3.70578123,6.653785373,2.704,3.21186842
2021-01-06 02:00:00,3.332,4.167308842,2.939727199,3.862868214,4.061575196,4.592077655,2.534,2.941263546
2021-01-06 03:00:00,2.822,4.004150795,2.769421628,3.210346978,2.081,4.634093488,2.531,2.086
2021-01-06 04:00:00,2.638,3.531365327,2.387150524,3.028910058,3.37466122,3.817579622,2.585,3.044619529
2021-01-06 05:00:00,3.077,3.886006343,2.626447695,2.081,3.709271876,4.104354154,2.562,2.881645869
2021-01-06 06:00:00,3.135,5.499688267,3.46220671,4.26104041,4.749289699,5.37137267,2.986,3.228130074
2021-01-06 07:00:00,3.643,6.615543087,3.864729357,5.259545219,5.806440535,6.566863786,4.082,3.611812012
2021-01-06 08:00:00,4.477,5.895798195,3.966604615,5.04837057,5.625013791,6.35806108,3.884,5.553861882
2021-01-06 09:00:00,5.37,6.155700472,4.160839678,5.279023123,5.675922276,6.653842573,4.21,6.393425259
2021-01-06 10:00:00,6.386,6.685443945,4.519064237,5.728345177,6.386374703,7.226407316,4.227,7.353206204
2021-01-06 11:00:00,7.323,8.590945132,5.807930499,7.256611313,8.210314149,9.111590758,4.916,5.8696
2021-01-06 12:00:00,6.793,8.439902806,5.383877493,6.830751313,7.450035313,8.6116693,4.635,7.537650931
2021-01-06 13:00:00,7.32,7.52028541,5.100532866,6.462012846,7.198052769,8.140674272,5.104,6.447089842
2021-01-06 14:00:00,5.82,6.971723993,6.11783198,6.128349271,6.833097642,7.779122473,4.936,6.724576379
2021-01-06 15:00:00,5.662,7.756066954,5.243127232,6.650870716,6.285497925,8.202380638,4.735,6.444887145
2021-01-06 16:00:00,5.568,7.834201408,5.295490542,6.718599838,7.488389876,9.241366812,4.832,7.056067587
2021-01-06 17:00:00,6.568,8.561369848,5.612739954,7.342428237,8.183187907,9.254795198,4.55,6.557730851
2021-01-06 18:00:00,8.053,9.800989722,5.906277987,8.385961787,9.151150928,10.59721887,4.852,6.392258084
2021-01-06 19:00:00,8.234,10.2925,6.973534075,8.875225434,9.892265877,11.05443018,4.798,5.607543986
2021-01-06 20:00:00,7.768,10.32147523,7.08824681,9.061850048,10.19566163,10.2925,4.678,5.237986124
2021-01-06 21:00:00,7.347,10.47124335,7.078015625,9.024290201,10.2925,11.32009781,4.242,4.705026782
2021-01-06 22:00:00,6.384,8.864505682,5.924056701,7.602809155,8.474282405,9.583592339,3.816,3.819656824
2021-01-06 23:00:00,5.195,6.973294464,4.808400975,5.986899676,6.671426572,7.546009468,3.328,3.875069781
2021-01-07 00:00:00,4.881,5.711607446,3.847457654,4.881260927,5.486590331,6.153122437,3.434,3.562689357
2021-01-07 01:00:00,4.16,4.863691992,4.082174227,4.177612471,4.634700052,5.257930029,3.114,3.286545767
2021-01-07 02:00:00,3.508,4.135147006,2.78889303,3.540320844,3.945270039,4.49308308,3.125,3.076236971
2021-01-07 03:00:00,3.092,3.639895364,2.460810159,3.121925267,3.479672338,3.495785322,2.959,3.113048483
2021-01-07 04:00:00,2.908,3.339832337,2.34283237,4.581910954,2.884045099,3.703878413,2.983,3.20542055
2021-01-07 05:00:00,3.212,3.787334274,2.583885622,3.248224585,3.620154252,3.613935017,2.913,3.08246291
2021-01-07 06:00:00,4.134,4.846095464,3.395657603,4.179698653,4.662403337,5.279641522,3.372,3.441706069
2021-01-07 07:00:00,5.076,5.991682607,4.051579693,5.139257538,6.380313001,6.237685664,4.308,4.713954885
2021-01-07 08:00:00,4.921,5.810806104,3.927822391,6.250330333,5.343933212,6.323431398,5.822,5.044772312
2021-01-07 09:00:00,5.182,6.324759158,3.852874906,5.248796042,5.850294222,6.616489355,6.26,7.143848868
2021-01-07 10:00:00,5.636,6.389584387,4.50027263,5.70971102,6.362287043,7.971260397,6.741,7.47104247
2021-01-07 11:00:00,5.908,7.127519275,6.097555717,5.985652801,6.724394228,7.544344186,7.312,8.4088
2021-01-07 12:00:00,6.267,7.405022276,4.837721442,6.350257626,7.429515705,8.004615965,7.004,7.580260884
2021-01-07 13:00:00,6.372,7.518339732,5.081995087,6.908110515,7.186441847,8.127628625,6.861,7.484176741
2021-01-07 14:00:00,6.122,7.987805169,4.852386175,6.158045047,6.86433513,8.945970936,6.21,6.659083168
2021-01-07 15:00:00,6.549,7.73891189,5.228272892,6.636135899,6.719345731,8.366204148,5.797,6.337014271
2021-01-07 16:00:00,6.616,7.468079809,5.285492464,6.823278289,7.47189716,8.475947041,5.738,6.327604883
2021-01-07 17:00:00,7.267,8.482038394,6.01785237,8.297875279,8.206313126,9.746233299,6.145,6.601814939
2021-01-07 18:00:00,8.411,9.880656333,6.864254126,8.47240318,9.444511213,10.6815446,6.136,6.344871123
2021-01-07 19:00:00,8.875,10.56113015,7.049088703,8.942087369,10.75155433,11.2725113,5.208,3.735803786
2021-01-07 20:00:00,9.058,10.71021086,7.090546842,9.126068415,10.05001883,11.3225,4.792,5.234021225
2021-01-07 21:00:00,8.972,10.54129565,7.124258395,8.998174083,10.07440091,11.3940217,4.036,4.581531973
2021-01-07 22:00:00,7.608,8.882350603,6.035551775,7.400479312,8.535002724,9.652177812,3.562,3.955638766
2021-01-07 23:00:00,6.008,7.036394616,4.760094944,6.039274047,5.251534687,7.612456995,2.983,3.51800311
2021-01-08 00:00:00,4.881,5.762381435,3.217861985,4.941172253,5.809203082,5.616919259,2.851,3.423229677
2021-01-08 01:00:00,4.16,4.999775874,3.379510291,5.349810704,5.552046124,5.403389919,2.684,3.044062173
2021-01-08 02:00:00,3.508,4.144797327,2.801377955,3.300769721,3.961823682,4.480805615,2.655,3.158797358
2021-01-08 03:00:00,3.092,3.643279017,2.469686713,3.10286626,3.492906084,3.949148827,2.713,2.600359879
2021-01-08 04:00:00,2.908,3.436018124,2.307763451,4.071557325,3.283717554,3.714561827,2.7,3.012110144
2021-01-08 05:00:00,3.212,3.757188763,2.565001413,3.254149014,3.629674066,4.425607929,2.641,2.897764627
2021-01-08 06:00:00,4.134,4.785554118,3.300259149,4.227828028,4.666960819,5.2782471,3.053,3.382509073
2021-01-08 07:00:00,5.076,5.994331223,4.051840988,5.140633984,5.729707893,6.480233898,4.168,4.492269549
2021-01-08 08:00:00,4.921,5.808821026,3.936596941,5.850945444,5.561392677,6.31737261,5.796,3.658026834
2021-01-08 09:00:00,5.182,5.776376566,4.143282321,5.48192146,5.855840219,6.416370436,6.604,7.397991659
2021-01-08 10:00:00,5.636,6.663798926,4.503478463,5.716696982,7.081393968,7.191136437,7.076,7.764531925
2021-01-08 11:00:00,5.908,6.970690629,4.713615862,5.963418457,6.664920234,6.777988061,7.554,8.187022692
2021-01-08 12:00:00,6.267,7.396302897,4.996604511,6.283815972,7.069796447,8.171462234,7.053,7.671484392
2021-01-08 13:00:00,6.372,7.744805589,5.368937288,6.449195983,6.519901585,8.128390891,6.6,7.853133528
2021-01-08 14:00:00,6.122,7.224900105,4.883538717,6.195156029,6.906017871,7.810950451,6.216,6.788596266
2021-01-08 15:00:00,6.549,7.727827122,6.187209147,6.331955649,7.387503228,8.575898282,5.688,6.170715208
2021-01-08 16:00:00,6.616,7.807505251,5.203855916,6.695896788,7.46296885,8.34517366,5.84,6.420346646
2021-01-08 17:00:00,7.267,8.574232886,5.976744626,6.963696076,8.197137886,9.563774172,5.83,6.195059901
2021-01-08 18:00:00,8.411,9.904987619,6.768110963,8.497275445,9.391287494,10.72734482,5.604,6.277124119
2021-01-08 19:00:00,8.875,10.3711088,7.105920373,9.007654922,10.0106945,11.32185407,5.342,5.862712476
2021-01-08 20:00:00,9.058,10.68909218,7.225540752,8.600992415,10.21707713,11.3225,4.882,5.252598818
2021-01-08 21:00:00,8.972,10.48011841,6.77461814,9.07962782,10.12003402,11.44546875,4.225,4.595430763
2021-01-08 22:00:00,7.608,8.97776863,5.349823031,7.701296299,8.701803828,9.7050583,4.072,4.283063884
2021-01-08 23:00:00,6.008,7.089990642,4.792252973,6.08001161,6.774973871,7.800948856,3.282,3.636797668
2021-01-09 00:00:00,4.688,5.762671831,3.895265246,4.284787908,5.50841584,6.229789087,3.06,3.537639667
2021-01-09 01:00:00,4.24,5.003454267,3.382110174,4.578759148,4.857104002,5.408871488,2.867,3.255446378
2021-01-09 02:00:00,3.332,5.929452782,2.60760403,3.128443791,3.959264479,4.478234454,2.782,2.086
2021-01-09 03:00:00,2.822,3.651695694,2.468411024,3.131798428,4.704749389,3.947693238,2.716,3.065664095
2021-01-09 04:00:00,2.638,3.431389219,2.326278353,2.951569937,3.289775802,3.720647569,2.843,3.065595504
2021-01-09 05:00:00,3.077,3.793841293,2.564524984,3.253555827,3.626362371,4.101769783,2.757,2.95084029
2021-01-09 06:00:00,3.135,4.520499273,3.961890879,4.186947834,4.666540103,5.277916342,2.734,2.586890787
2021-01-09 07:00:00,3.643,6.151628185,4.116352093,5.140440993,5.729432326,6.480323115,2.856,4.631984299
2021-01-09 08:00:00,4.477,5.502171612,3.835387219,4.983800548,5.554392464,6.282507585,3.23,3.526807489
2021-01-09 09:00:00,5.37,6.118858673,4.231932847,5.248054466,4.477871209,8.152206883,3.68,6.943039646
2021-01-09 10:00:00,6.386,6.708862042,4.498927055,5.707921473,6.362004548,5.90649485,4.396,7.497021771
2021-01-09 11:00:00,7.323,6.970443737,4.711639944,5.977937077,6.662732033,7.535449004,5.179,6.2077
2021-01-09 12:00:00,6.793,7.394406699,4.999265446,6.341446763,7.072767036,7.99381991,4.756,7.361959775
2021-01-09 13:00:00,7.32,7.519986038,5.083251006,7.660958662,7.188257072,8.129107357,4.925,6.969060238
2021-01-09 14:00:00,5.82,8.409086492,4.884131449,5.674104926,6.874518232,7.811208221,5.121,4.920884938
2021-01-09 15:00:00,5.662,7.746857872,5.225327306,6.581275577,7.389109248,8.395224728,4.664,5.987044378
2021-01-09 16:00:00,5.568,7.810941223,5.095225944,6.420415017,7.466238825,8.543966028,4.612,6.133052408
2021-01-09 17:00:00,6.568,8.579987465,5.992844882,7.357918479,6.884066341,10.54448205,4.978,5.875184363
2021-01-09 18:00:00,8.053,9.927942293,6.710562483,8.513492575,9.489691586,10.73269712,5.398,5.967583011
2021-01-09 19:00:00,8.234,10.38046373,8.392220929,9.674250349,10.01323718,10.2925,5.124,5.491234497
2021-01-09 20:00:00,7.768,10.2925,6.96143514,9.169870745,10.21999665,11.38532973,4.776,5.008976652
2021-01-09 21:00:00,7.347,9.840475819,7.158685848,9.59420728,10.1237874,11.43294626,4.105,4.423706691
2021-01-09 22:00:00,6.384,8.981479344,6.782447892,7.701029911,8.584886758,9.750608463,3.62,3.91676188
2021-01-09 23:00:00,5.195,7.093631954,3.705107727,6.083418044,6.780550196,7.149664445,2.87,3.249589657
2021-01-10 00:00:00,4.688,5.532167977,3.728002667,4.750555534,5.286283973,5.980596632,2.755,3.070395575
2021-01-10 01:00:00,4.24,4.577864657,3.722535628,4.291089283,4.550632368,5.340165131,2.692,2.086
2021-01-10 02:00:00,3.332,4.04412638,3.063958647,3.546329444,3.952834032,4.673771216,2.63,3.312445163
2021-01-10 03:00:00,2.822,3.645745611,2.462177548,3.330859838,3.483948022,4.726566669,2.577,2.822357778
2021-01-10 04:00:00,2.638,3.101792292,2.320788725,2.944349048,3.281600116,3.711680844,2.546,2.086
2021-01-10 05:00:00,3.077,3.786928323,2.560128267,3.247772878,3.621250361,4.092402991,2.572,2.398159452
2021-01-10 06:00:00,3.135,4.274590556,3.29597488,4.181069267,4.660189467,5.382488096,2.569,2.988465794
2021-01-10 07:00:00,3.643,5.987259097,4.049905104,5.134633341,5.902454158,6.697343516,2.625,4.624574012
2021-01-10 08:00:00,4.477,6.043136993,3.921291315,4.977952666,5.547743641,6.274229466,2.728,2.213570027
2021-01-10 09:00:00,5.37,6.112410784,4.136458537,5.243243497,5.844024861,6.353663603,2.851,6.794733644
2021-01-10 10:00:00,6.386,6.585421847,4.494277105,5.396665746,5.703640372,6.707207801,3.436,7.002397937
2021-01-10 11:00:00,7.323,6.964486871,4.718717324,7.279262727,6.662435924,7.293718078,3.938,5.1773
2021-01-10 12:00:00,6.793,7.393993227,5.088542835,6.047795104,7.148565189,7.993284779,4.294,7.079196181
2021-01-10 13:00:00,7.32,7.518766788,4.100747913,6.44717733,7.195152497,8.128119483,3.838,7.513021183
2021-01-10 14:00:00,5.82,7.226069573,4.882246441,6.196253033,6.607212748,7.951990261,3.92,6.20078094
2021-01-10 15:00:00,5.662,7.729588418,5.224852719,6.627970725,7.356163086,7.594530301,3.973,5.846953621
2021-01-10 16:00:00,5.568,7.809055913,4.984228955,6.384682577,7.129883222,8.441923566,3.83,5.793792199
2021-01-10 17:00:00,6.568,8.382030301,5.798022726,7.776321561,8.21060951,9.27266279,4.314,5.631166204
2021-01-10 18:00:00,8.053,10.13662717,6.71052355,8.513732695,9.489036437,10.2925,4.502,5.609114118
2021-01-10 19:00:00,8.234,10.47512114,7.018133378,8.99291399,10.01509102,11.32419131,4.41,7.496992882
2021-01-10 20:00:00,7.768,10.2925,7.393373013,9.121409348,10.21915101,11.52179735,4.43,5.005740873
2021-01-10 21:00:00,7.347,10.58965651,7.158942864,8.718483214,9.320168119,11.44866145,4.172,4.597258513
2021-01-10 22:00:00,6.384,7.5144902,6.206632452,7.701197856,8.583634484,9.517243235,3.564,3.895184432
2021-01-10 23:00:00,5.195,7.176159187,5.096537587,6.081081416,6.7788852,8.33647246,3.082,3.349508205
2021-01-11 00:00:00,4.881,5.758757422,3.892642865,4.938634535,5.504570468,6.79968412,2.955,3.084354299
2021-01-11 01:00:00,4.16,4.946816627,3.343872623,4.239805597,4.729199111,4.83738882,2.848,3.230808655
2021-01-11 02:00:00,3.508,4.13888885,2.802286706,3.549076575,3.95596162,3.304606332,2.866,3.007410362
